ITEM,CAL,FAT,SFAT,TFAT,CHOL,SALT,CARB,FBR,SGR,PRO,CATEGORY,WEIGHT,PRICE
Bacon Clubhouse Burger 9.7 oz (274 g),740,41,16,1.5,125,1480,51,4,14,40,BURGERSANDWICH,274,4.49
Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g),610,26,8,0,125,1750,50,3,14,45,BURGERSANDWICH,285,4.49
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g),790,40,11,0.5,110,1620,67,5,15,40,BURGERSANDWICH,287,4.49
McChicken ® 5.1 oz (144 g),370,17,3.5,0,40,650,40,2,5,14,BURGERSANDWICH,144,1.29
Filet-O-Fish 5 oz (142 g),390,19,4,0,40,590,39,2,5,15,BURGERSANDWICH,142,3.79
Premium McWrap Chicken & Bacon (Buttermilk Crispy) 11.1 oz (314 g),690,34,10,0.5,100,1450,58,4,6,36,BURGERSANDWICH,314,4.39
Premium McWrap Chicken & Bacon (Grilled) 11 oz (312 g),500,19,8,0.5,115,1570,41,3,5,41,BURGERSANDWICH,312,4.39
Premium McWrap Chicken & Ranch (Buttermilk Crispy) 10.9 oz (309 g),660,34,9,0.5,85,1250,59,4,6,31,BURGERSANDWICH,309,4.39
Premium McWrap Chicken & Ranch (Grilled) 10.8 oz (306 g),470,19,7,0.5,100,1370,41,3,5,35,BURGERSANDWICH,306,4.39
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy) 10.6 oz (301 g),590,25,5,0,65,1160,64,4,12,27,BURGERSANDWICH,301,4.39
Premium McWrap Chicken Sweet Chili (Grilled) 10.4 oz (294 g),400,10,3,0,80,1250,46,3,11,31,BURGERSANDWICH,294,4.39
Big Mac 7.5 oz (212 g),540,28,10,1,80,970,47,3,9,25,BURGERSANDWICH,212,3.99
Quarter Pounder® with Cheese 7.3 oz (206 g),540,28,13,1.5,100,1110,42,3,10,31,BURGERSANDWICH,206,3.79
Double Quarter Pounder with Cheese 10.3 oz (291 g),780,45,21,2.5,175,1310,43,3,10,50,BURGERSANDWICH,291,4.79
Cheeseburger 4 oz (113 g),300,12,6,0.5,40,680,33,2,7,15,BURGERSANDWICH,113,1
BBQ Ranch Burger 4 oz (114 g),350,15,6,0.5,45,670,37,3,7,15,BURGERSANDWICH,114,1
Grilled Onion Cheddar 4 oz (114 g),310,13,6,0.5,45,640,32,2,6,15,BURGERSANDWICH,114,1
Double Cheeseburger 5.7 oz (163 g),440,22,11,1,85,1050,35,2,7,25,BURGERSANDWICH,163,1.69
McDouble 5.2 oz (148 g),390,18,8,1,70,850,34,2,7,22,BURGERSANDWICH,148,1.39
Daily Double 6.8 oz (191 g),440,24,9,1,75,770,34,2,7,22,BURGERSANDWICH,191,1.99
Ranch Snack Wrap® (Buttermilk Crispy) 4.6 oz (129 g),380,21,6,0,45,760,33,2,2,16,BURGERSANDWICH,129,1.69
Ranch Snack Wrap® (Grilled) 4.5 oz (128 g),290,13,4.5,0,55,820,25,1,2,19,BURGERSANDWICH,128,1.69
Artisan Grilled Chicken Sandwich 7.3 oz (207 g),360,6,1.5,0,75,960,43,3,10,33,BURGERSANDWICH,207,4.39
Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g),610,26,8,0,125,1750,50,3,14,45,CHICKENFISH,285,4.49
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g),790,40,11,0.5,110,1620,67,5,15,40,CHICKENFISH,287,4.49
Chicken McNuggets® (10 piece) 5.7 oz (162 g),470,30,5,0,65,900,30,2,0,22,CHICKENFISH,162,4.49
Chicken McNuggets® (20 piece) 11.4 oz (323 g),940,59,10,0,135,1800,59,3,0,44,CHICKENFISH,323,5
Chicken McNuggets® (40 piece) 22.8 oz (646 g),1880,118,20,1,265,3600,118,6,1,87,CHICKENFISH,646,8.99
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken 9.5 oz (268 g),490,29,8,0,100,1000,26,4,4,34,CHICKENFISH,268,4.59
Premium Bacon Ranch Salad with Grilled Chicken 9.4 oz (266 g),310,14,6,0,115,1120,9,3,3,38,CHICKENFISH,266,4.59
Premium Southwest Salad with Buttermilk Crispy Chicken 10.4 oz (294 g),510,26,6,0,75,790,43,7,9,28,CHICKENFISH,294,4.79
Premium Southwest Salad with Grilled Chicken 10.3 oz (292 g),330,11,4,0,90,920,26,6,9,33,CHICKENFISH,292,4.79
Chicken McNuggets® (4 piece) 2.3 oz (65 g),190,12,2,0,25,360,12,1,0,9,CHICKENFISH,65,1.99
Artisan Grilled Chicken Sandwich 7.3 oz (207 g),360,6,1.5,0,75,960,43,3,10,33,CHICKENFISH,207,4.39
Small French Fries 2.6 oz (75 g),230,11,1.5,0,0,130,30,2,0,2,SNACKSIDE,75,1.39
Large French Fries 5.9 oz (168 g),510,24,3.5,0,0,290,67,5,0,6,SNACKSIDE,168,1.89
Medium French Fries 3.9 oz (111 g),340,16,2.5,0,0,190,44,4,0,4,SNACKSIDE,111,1.79
Ranch Snack Wrap® (Buttermilk Crispy) 4.6 oz (129 g),380,21,6,0,45,760,33,2,2,16,SNACKSIDE,129,1.69
Ranch Snack Wrap® (Grilled) 4.5 oz (128 g),290,13,4.5,0,55,820,25,1,2,19,SNACKSIDE,128,1.69
Sausage Burrito 3.9 oz (111 g),300,16,7,0,115,790,26,1,2,12,BREAKFAST,111,1.29
Sausage Biscuit (Regular Size Biscuit) 4.1 oz (117 g),440,30,12,0,40,1000,33,1,2,11,BREAKFAST,117,1.19
HASH BROWNS 2 oz (56 g),150,9,1.5,0,0,310,15,2,0,1,BREAKFAST,56,1.09
"Steak, Egg & Cheese Bagel 8.5 oz (242 g)",660,34,14,1.5,285,1490,56,3,7,33,BREAKFAST,242,3.99
Fruit & Maple Oatmeal 8.9 oz (251 g),290,4,1.5,0,5,160,58,5,32,5,BREAKFAST,2.51,1.99
Cinnamon Melts 4 oz (114 g),460,19,9,0,15,370,66,3,32,6,BREAKFAST,114,1.69
Egg White Delight 4.8 oz (135 g),250,7,4,0,30,760,29,1,3,18,BREAKFAST,135,2.79
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit) 5.9 oz (166 g)",530,31,15,0,230,1420,43,3,4,19,BREAKFAST,166,3.19
Big Breakfast with Hotcakes (Large Size Biscuit) 15.2 oz (430 g),1130,61,21,0,465,2170,111,7,16,33,BREAKFAST,430,5.49
Big Breakfast® (Large Size Biscuit) 10.1 oz (286 g),810,54,19,0,445,1640,57,4,3,25,BREAKFAST,286,3.69
Sausage Biscuit with Egg (Large Size Biscuit) 6.4 oz (182 g),600,41,16,0,235,1240,41,3,3,17,BREAKFAST,182,2.79
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit) 6 oz (170 g)",480,26,13,0,35,1430,42,3,4,20,BREAKFAST,170,3.19
Sausage McMuffin with Egg Whites 5.8 oz (163 g),430,25,10,0,60,850,29,1,2,21,BREAKFAST,163,2.99
"Bacon, Egg & Cheese McGriddles with Egg Whites 6.3 oz (178 g)",410,16,7,0,35,1260,47,2,16,20,BREAKFAST,178,3.29
"Bacon, Egg & Cheese Bagel 6.7 oz (191 g)",580,28,12,0.5,255,1330,55,3,7,27,BREAKFAST,191,3.29
Sausage McMuffin 4 oz (114 g),400,25,10,0,60,750,28,1,2,14,BREAKFAST,114,1.19
